doc_id,title,target_eval_ids,noise_type,wrong_info_strategy
04-AI-Assistant-系统架构历史版本v2.0.txt,系统架构历史版本v2.0,"eval_003,eval_005,eval_029",outdated_version,"React/Flask/MySQL替换Vue/FastAPI/PG"
05-AI-Assistant-轻量化部署方案.txt,轻量化部署方案,"eval_004,eval_028",outdated_version,"Python3.8/4GB/20GB替换3.11/8GB/50GB"
06-AI-Assistant-后端API参考手册（旧版）.txt,后端API参考手册（旧版）,"eval_006,eval_002",outdated_version,"GET/upload, POST/v1/ask, XML, top_k=50"
07-AI-Assistant-嵌入模型选型指南.txt,嵌入模型选型指南,"eval_009,eval_030",outdated_version,"1536维ada-002,768维bge,非1024"
08-AI-Assistant-检索策略配置说明.txt,检索策略配置说明,"eval_002,eval_007,eval_010",outdated_version,"HyDE阈值0.5,top_k=30,bge-reranker-base"
09-AI-Assistant-文档解析引擎技术说明.txt,文档解析引擎技术说明,"eval_001",near_miss,"10种格式, OCRmyPDF, pdfminer"
10-AI-Assistant-数据库运维手册.txt,数据库运维手册,"eval_003,eval_024",near_miss,"PG15, Redis6, MinIO旧版, 768维"
11-AI-Assistant-LLM模型配置指南.txt,LLM模型配置指南,"eval_008",near_miss,"deepseek-v4-base, GLM-4, gpt-3.5-turbo"
12-AI-Assistant-前端开发规范.txt,前端开发规范,"eval_005,eval_025",near_miss,"ElementPlus2.3, Vuex, Vite4, Node16"
13-AI-Assistant-环境搭建笔记（草稿）.txt,环境搭建笔记（草稿）,"eval_004,eval_028",low_quality,"矛盾信息, TODO标记, 笔记风格"
14-AI-Assistant-技术选型讨论记录.txt,技术选型讨论记录,"eval_003,eval_029",conflicting,"MongoDB vs PG, Redis5->7未完成"
15-AI-Assistant-旧版运维常见问题.txt,旧版运维常见问题,"eval_006,eval_009",conflicting,"错误Q&A, 不确定用语"
16-AI-Assistant-合作方集成说明.txt,合作方集成说明,"eval_002,eval_010",conflicting,"Cohere rerank, Voyage AI, top_k=15"
